HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM3419	"AY409023,AY409024,AY409025"	9971	NR1H4	Nuclear hormone receptor->Transcription factor;Nuclear hormone receptor->Receptor	"Signal transduction;Regulation of lipid, fatty acid and steroid metabolism->Lipid, fatty acid and steroid metabolism"	9.99E-03	4.69E-01	1.00E+00	4.69E-01	8.79E-03	8.79E-07	1.00E-04	8.58E-04	1.20E-03	1.40E+00	40	12.08	4.98	17.06	5.62	8.17	13.79	4.02	0.93	0.09	0	5.04	3.48	0.72	4.2	0	0	0	0.32	0	0.77	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.68E-03	-2074.485	6.57E-01	1.00E+03	2.90E+01	-2074.483	6.57E-01	3.45E+01	0.76	12	100602941
HCM6962	"AY419652,AY419653,AY419654"	10611		Molecular function unclassified	Biological process unclassified	3.67E-01	3.87E-01	1.00E+00	3.87E-01	5.05E-03	3.59E-03	7.11E-01	2.44E-03	3.54E-03	1.45E+00	36	7.54	2.72	10.26	1.46	5.13	6.59	2.03	1.7	0.07	0.52	4.32	1.08	0.5	1.58	0.06	0	0	0.51	0	0.63	0	0	0	0	0.04	0.04	2.89E-02	1.00E+00	1.80E+00	-2603.216	5.44E-01	3.30E-01	1.17E-01	-2605.017	5.41E-01	2.59E+00	0.64	4	94367624
HCM2756	"AY407034,AY407035,AY407036"	5154	PDGFA	Growth factor->Signaling molecule	Cell motility->Cell structure and motility;Cell structure->Cell structure and motility;Ligand-mediated signaling->Cell communication->Signal transduction;Calcium mediated signaling->Intracellular signaling cascade->Signal transduction;Receptor protein tyrosine kinase signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	5.05E-02	4.46E-01	1.00E+00	4.46E-01	5.13E-02	5.13E-06	1.00E-04	1.32E-02	1.92E-02	1.45E+00	55	3.28	1.1	4.38	5.34	0.5	5.84	2.68	0.47	0	0	3.15	0.3	0	0.3	0	0	0	0.38	0	3.1	0	0	0	0	0	0	1.00E+00	4.51E-01	-8.85E-03	-425.4417	9.80E-01	1.00E+03	3.34E+02	-425.4329	9.87E-01	3.26E+00	1.76	7	1051303
HCM5204	"AY414378,AY414379,AY414380"	51125		Molecular function unclassified	Biological process unclassified	4.76E-01	3.58E-01	1.00E+00	3.58E-01	1.25E-04	1.25E-08	1.00E-04	1.50E-02	2.22E-02	1.48E+00	43	20.93	1.48	22.41	7.06	1.46	8.52	2.85	0.91	1.95	0	5.71	0.94	1.55	2.49	0.13	0	0	0.2	0	0.25	0	0	0	0	0	0	3.22E-01	4.12E-01	1.07E-01	-432.1194	3.26E-01	2.05E-03	1.00E-04	-432.2264	3.24E-01	1.68E+01	0.76	8	41312388
HCM0138	"AY399180,AY399181,AY399182"			Molecular function unclassified	Biological process unclassified	2.66E-01	4.35E-01	1.00E+00	4.35E-01	5.27E-03	1.99E-03	3.78E-01	1.77E-03	2.64E-03	1.49E+00	54	26.95	0.35	27.3	6.66	0.79	7.45	0.71	0.22	0.49	0	1.42	1.13	0	1.13	0	0	0.15	0.43	0	1.25	0	0	0	0	0	0	2.91E-01	3.56E-02	1.52E-01	-2189.972	6.61E-01	1.22E+00	4.02E-01	-2190.124	6.60E-01	2.93E+00	1.78	16	7849110
HCM4513	"AY412305,AY412306,AY412307"	55707		Molecular function unclassified	Biological process unclassified	2.71E-02	4.33E-01	1.00E+00	4.33E-01	1.48E-02	1.48E-06	1.00E-04	2.74E-03	4.27E-03	1.56E+00	50	32.53	4.71	37.24	8.09	3.99	12.08	3.11	0.78	1	0	4.89	0.77	0	0.77	0	0.47	0	0.34	0	0.84	0	0	0	0	0	0	4.84E-01	1.00E+00	7.84E-04	-1207.487	6.55E-01	4.26E+01	3.22E+00	-1207.488	6.55E-01	1.32E+01	1.76	1	15259826
HCM3853	"AY410325,AY410326,AY410327"			Molecular function unclassified	Biological process unclassified	3.34E-01	4.28E-01	1.00E+00	4.28E-01	6.88E-03	3.59E-03	5.22E-01	2.36E-03	3.69E-03	1.56E+00	38	9.95	1.52	11.47	23.48	4.06	27.54	7.04	1.17	0.82	0	9.03	1.18	1.6	2.78	0	0	0	0.13	0	0.21	0	0	0	0	0	0	1.41E-01	3.32E-02	5.80E-01	-1492.885	6.95E-01	1.86E-01	2.51E-01	-1493.465	6.90E-01	6.90E-01	0.45	2	194440057
HCM4026	"AY410844,AY410845,AY410846"	64979	MRPL36	Molecular function unclassified	Biological process unclassified	1.65E-02	4.71E-01	1.00E+00	4.71E-01	2.70E-02	2.70E-06	1.00E-04	2.37E-05	3.75E-05	1.58E+00	51	6.3	0.36	6.66	9.11	0.32	9.43	3.49	0.85	1.37	0	5.71	1.4	0.41	1.81	0	0	0	0.75	0	1.34	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.90E-03	-551.7597	1.90E+00	1.00E+03	9.58E+02	-551.7538	1.92E+00	1.10E+00	3.5	5	2124516
HCM6391	"AY417939,AY417940,AY417941"	23054	NCOA6	Molecular function unclassified	Biological process unclassified	8.98E-05	3.65E-01	1.00E+00	3.65E-01	8.87E-03	1.25E-03	1.41E-01	8.82E-04	1.40E-03	1.59E+00	41	26.8	2.03	28.83	9.69	2.61	12.3	0.77	0	1.12	0	1.89	1.97	0	1.97	0	0	0	0.2	0	0.54	0	0	0	0	0	0	3.52E-01	4.37E-01	7.19E-02	-9446.163	3.29E-01	1.02E+01	4.40E+00	-9446.235	3.29E-01	2.30E+00	0.49	20	30067869
HCM4457	"AY412137,AY412138,AY412139"	25849		Molecular function unclassified	Biological process unclassified	5.35E-02	4.23E-01	1.00E+00	4.23E-01	1.17E-02	1.17E-06	1.00E-04	2.65E-03	4.23E-03	1.60E+00	41	3.11	4.74	7.85	7.58	7.01	14.59	3.33	0.93	1.56	0	5.82	0.84	0	0.84	0.27	0	0.13	0.12	0	0.24	0	0	0	0	0	0	1.00E+00	1.00E+00	-7.05E-03	-1481.882	1.15E+00	5.76E+02	9.95E+02	-1481.875	1.14E+00	5.57E-01	0.7	4	73926229
HCM0498	"AY400260,AY400261,AY400262"	84294		Molecular function unclassified	Biological process unclassified	5.02E-02	4.30E-01	1.00E+00	4.30E-01	1.30E-02	1.30E-06	1.00E-04	2.47E-03	4.03E-03	1.63E+00	40	11.15	3.15	14.3	10.47	2.54	13.01	3.96	2.4	0.9	0.54	7.8	2.26	0.71	2.97	0.24	0	0	0.44	0	0.59	0	0	0	0	0	0	1.00E+00	2.88E-01	-1.01E-03	-1306.824	7.57E-01	1.00E+03	1.84E+02	-1306.822	7.57E-01	5.44E+00	0.5	8	115666818
HCM7267	"AY420567,AY420568,AY420569"	6778	STAT6	Other transcription factor->Transcription factor	Hematopoesis->Mesoderm development->Developmental processes;JAK-STAT cascade->Intracellular signaling cascade->Signal transduction	3.49E-03	4.30E-01	1.00E+00	4.30E-01	7.30E-03	7.30E-07	1.00E-04	8.17E-04	1.35E-03	1.65E+00	50	19.31	2.9	22.21	3.1	2.36	5.46	0.93	0	0	0	0.93	1.04	1.96	3	0.16	0	0	0.61	0	1.05	0	0	0	0	0	0	1.00E+00	4.45E-01	-5.24E-03	-3665.496	6.25E-01	9.95E+02	2.50E+02	-3665.491	6.26E-01	4.07E+00	0.64	12	56085109
HCM7087	"AY420027,AY420028,AY420029"			Molecular function unclassified	Biological process unclassified	8.63E-03	4.13E-01	1.00E+00	4.13E-01	4.68E-03	3.34E-04	7.14E-02	5.21E-04	8.72E-04	1.67E+00	40	9.74	4.9	14.64	8.56	2.81	11.37	2.83	0.73	1.46	0	5.02	1	0.67	1.67	0.06	0.12	0	0.64	0	0.28	0	0	0	0	0	0	4.47E-01	1.00E+00	8.72E-03	-6507.817	6.64E-01	1.84E+01	7.07E+00	-6507.826	6.64E-01	2.61E+00	1.58	4	15274663
HCM0462	"AY400152,AY400153,AY400154"	23498	HAAO	Oxygenase->Oxidoreductase	Other carbon metabolism->Other metabolism	1.35E-01	4.75E-01	1.00E+00	4.75E-01	1.15E-02	3.59E-03	3.12E-01	2.21E-05	3.70E-05	1.67E+00	46	14.21	2.13	16.34	8.73	1.74	10.47	3.31	1.2	3.77	1.01	9.29	0.73	0	0.73	0	0	0.14	0.32	0	0.33	0	0	0	0.03	0.04	0.07	1.96E-01	4.49E-01	3.66E-01	-1386.919	6.75E-01	8.15E-01	3.85E-01	-1387.286	6.73E-01	2.03E+00	1.07	2	43279532
HCM5718	"AY415920,AY415921,AY415922"	6561	SLC13A1	Other transporter->Transporter;Cation transporter->Transporter	Anion transport->Ion transport->Transport;Cation transport->Ion transport->Transport	1.92E-01	3.78E-01	1.00E+00	3.78E-01	8.73E-03	4.00E-03	4.58E-01	2.02E-03	3.42E-03	1.69E+00	36	3.32	2.31	5.63	13.88	6.38	20.26	2.81	0.61	0.4	0	3.82	1.78	0	1.78	0	0	0	0.68	0	0.43	0	0	0	0	0	0	1.10E-01	3.56E-01	7.50E-01	-2685.954	7.92E-01	4.97E-01	3.98E-01	-2686.704	7.86E-01	1.18E+00	0.7	7	120878933
HCM1162	"AY402252,AY402253,AY402254"	9938		Molecular function unclassified	Biological process unclassified	8.09E-02	3.94E-01	1.00E+00	3.94E-01	5.83E-03	5.83E-07	1.00E-04	1.05E-03	1.79E-03	1.70E+00	42	4.49	2.61	7.1	8.97	9.91	18.88	1.89	0.14	0.73	0	2.76	1.74	0.32	2.06	0.15	0	0	0.58	0	0.6	0	0	0	0	0	0	1.00E+00	2.64E-01	-1.09E-03	-3038.739	6.23E-01	1.00E+03	2.54E+02	-3038.738	6.23E-01	3.97E+00	1.33	2	69694090
HCM3216	"AY408414,AY408415,AY408416"	29127	RACGAP1	G-protein modulator->Select regulatory molecule	Intracellular signaling cascade->Signal transduction	1.63E-01	3.32E-01	1.00E+00	3.32E-01	2.58E-02	5.20E-03	2.02E-01	1.55E-02	2.70E-02	1.74E+00	48	20.96	3.56	24.52	1.58	3.44	5.02	0.9	0	1.22	0	2.12	0.42	0.32	0.74	0	0	0.14	0.91	0	0.88	0	0	0	0	0	0	2.94E-01	1.70E-01	1.46E-01	-537.2478	6.52E-01	1.29E+00	6.97E-01	-537.3941	6.45E-01	1.67E+00	0.62	12	48684520
HCM5153	"AY414225,AY414226,AY414227"			Molecular function unclassified	Biological process unclassified	1.06E-01	3.28E-01	1.00E+00	3.28E-01	7.73E-03	7.73E-07	1.00E-04	4.97E-03	8.78E-03	1.77E+00	41	3.33	3.88	7.21	10.96	5.57	16.53	1.03	2.57	1.28	0	4.88	0.61	0	0.61	0	0	0	0.38	0	0.21	0	0	0	0	0	0	1.00E+00	1.00E+00	-7.48E-04	-1577.283	7.03E-01	1.00E+03	4.79E+02	-1577.282	7.03E-01	2.09E+00	1.86	11	5354172
HCM1099	"AY402063,AY402064,AY402065"	4741	NEF3	Intermediate filament->Cytoskeletal protein	Cell structure->Cell structure and motility	1.71E-02	4.28E-01	1.00E+00	4.28E-01	9.98E-03	1.38E-03	1.38E-01	8.26E-04	1.48E-03	1.79E+00	42	7.71	2.95	10.66	4.15	6.32	10.47	5.53	0.67	4.14	0	10.34	0.51	0.56	1.07	0.08	0	0	1.52	0	0.95	0	0	0	0	0.04	0.04	1.48E-01	1.00E+00	5.47E-01	-3369.496	6.60E-01	2.29E+00	3.31E-01	-3370.043	6.57E-01	6.58E+00	1.23	8	24905981
HCM2705	"AY406881,AY406882,AY406883"	1297	COL9A1	Molecular function unclassified	Biological process unclassified	4.05E-01	3.20E-01	1.00E+00	3.20E-01	2.88E-03	2.20E-03	7.64E-01	1.71E-03	3.09E-03	1.81E+00	38	6.69	2.05	8.74	2.98	2.63	5.61	0	0	0	0	0	1.18	0	1.18	0.15	0.09	0	0.99	0	0.35	0	0	0.03	0	0	0.03	3.21E-02	9.41E-02	1.71E+00	-3621.302	5.70E-01	2.32E-01	5.86E-02	-3623.014	5.67E-01	3.64E+00	0.83	6	70070741
HCM0804	"AY401178,AY401179,AY401180"	23283		Other RNA-binding protein->Nucleic acid binding	"mRNA end-processing and stability->Pre-mRNA processing->Nucleoside, nucleotide and nucleic acid metabolism;mRNA polyadenylation->Pre-mRNA processing->Nucleoside, nucleotide and nucleic acid metabolism"	1.84E-02	4.13E-01	1.00E+00	4.13E-01	1.86E-02	3.45E-03	1.85E-01	1.59E-03	2.89E-03	1.82E+00	38	8.98	2.36	11.34	7.49	3.56	11.05	2.62	0	1.83	0	4.45	2.23	0.15	2.38	0.07	0	0	0.51	0	0.74	0	0	0	0	0	0	9.92E-02	1.98E-02	8.27E-01	-2869.515	5.23E-01	1.63E+00	2.94E-01	-2870.343	5.20E-01	5.00E+00	0.92	10	50000559
HCM5986	"AY416724,AY416725,AY416726"	4064	LY64	Other receptor->Receptor	Other immune and defense->Immunity and defense	6.43E-03	4.45E-01	1.00E+00	4.45E-01	1.51E-02	5.65E-04	3.74E-02	1.02E-03	1.87E-03	1.83E+00	43	6.86	2.51	9.37	4.66	2.57	7.23	2.25	0.29	3.16	0	5.7	1.49	0	1.49	0	0	0	0.2	0	0.61	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.74E-03	-3611.666	9.55E-01	9.95E+02	8.88E+02	-3611.664	9.55E-01	1.12E+00	0.91	5	66037596
HCM5817	"AY416217,AY416218,AY416219"	27115	PDE7B	Phosphodiesterase->Hydrolase	"Signal transduction;Metabolism of cyclic nucleotides->Nucleoside, nucleotide and nucleic acid metabolism"	1.26E-01	4.30E-01	1.00E+00	4.30E-01	7.54E-03	1.09E-03	1.45E-01	1.20E-03	2.20E-03	1.83E+00	41	3.76	2.4	6.16	6.34	2.69	9.03	1.53	0	1.34	0	2.87	1.04	1.57	2.61	0	0.12	0	0.2	0	0.67	0	0	0	0	0	0	2.84E-01	1.00E+00	1.63E-01	-2243.453	4.12E-01	2.33E+00	5.50E-01	-2243.616	4.11E-01	4.09E+00	1.77	6	136414087
HCM3788	"AY410130,AY410131,AY410132"	1580	CYP4B1	Oxygenase->Oxidoreductase	Biological process unclassified	6.86E-02	3.81E-01	1.00E+00	3.81E-01	1.43E-02	3.97E-03	2.78E-01	2.02E-03	3.83E-03	1.90E+00	43	4.95	1.75	6.7	17.6	4.6	22.2	1.82	0.76	4.72	0.93	8.23	0.49	0	0.49	0	0	0	0.11	0	0.98	0	0	0	0	0.07	0.07	2.98E-02	1.00E+00	1.77E+00	-2501.571	5.79E-01	5.62E-01	1.93E-01	-2503.344	5.73E-01	2.58E+00	0.68	1	46133984
HCM2233	"AY405465,AY405466,AY405467"	159195		Molecular function unclassified	Biological process unclassified	1.39E-01	2.89E-01	1.00E+00	2.89E-01	3.15E-03	3.15E-07	1.00E-04	3.38E-03	6.46E-03	1.91E+00	42	22.07	1.55	23.62	6.21	3.27	9.48	1.16	0	0	0	1.16	0.36	0	0.36	0.03	0	0	0.57	0	0.48	0	0	0	0.1	0.04	0.14	1.00E+00	4.64E-01	-4.81E-03	-2262.42	7.58E-01	2.55E+02	9.80E+02	-2262.415	7.57E-01	2.51E-01	0.55	10	73803155
HCM2268	"AY405570,AY405571,AY405572"	29904		Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Calcium mediated signaling->Intracellular signaling cascade->Signal transduction	9.49E-02	4.64E-01	1.00E+00	4.64E-01	1.49E-02	5.10E-04	3.42E-02	1.07E-03	2.06E-03	1.93E+00	48	34.94	2.58	37.52	4.96	4.48	9.44	4.34	0	2.02	0	6.36	2.2	0.23	2.43	0.07	0	0	0.27	0	0.72	0	0	0	0	0.08	0.08	3.52E-01	4.17E-01	7.25E-02	-3618.484	7.00E-01	7.98E+00	3.62E-01	-3618.557	7.00E-01	2.20E+01	0.79	16	26268411
HCM2768	"AY407070,AY407071,AY407072"	51629		Mitochondrial carrier protein->Transfer/carrier protein	Small molecule transport->Transport	2.04E-01	4.22E-01	1.00E+00	4.22E-01	7.17E-03	1.38E-03	1.92E-01	1.59E-03	3.12E-03	1.96E+00	53	27.34	3.74	31.08	3.48	1.8	5.28	0.6	5	0	1.75	7.35	0.75	0.66	1.41	0	0	0	0.83	0	0.64	0	0	0	0.25	0	0.25	1.27E-01	1.00E+00	6.53E-01	-1675.49	6.17E-01	6.82E-01	1.51E-01	-1676.142	6.16E-01	4.35E+00	0.62	17	44081281
HCM1615	"AY403611,AY403612,AY403613"	29083		Molecular function unclassified	Biological process unclassified	7.51E-03	3.71E-01	1.00E+00	3.71E-01	2.80E-02	2.80E-06	1.00E-04	4.28E-03	8.50E-03	1.99E+00	39	5.53	2.56	8.09	10.07	5.02	15.09	3.67	3.21	4	1.82	12.7	1.06	1.03	2.09	0	0	0	0.16	0	0.28	0	0	0	0	0	0	1.00E+00	4.38E-01	-1.11E-03	-953.091	6.91E-01	1.00E+03	7.22E+02	-953.0899	6.91E-01	1.39E+00	0.71	3	115121086
HCM4069	"AY410973,AY410974,AY410975"	129642		Molecular function unknown	Biological process unknown	2.39E-01	3.63E-01	1.00E+00	3.63E-01	4.54E-03	1.53E-03	3.37E-01	1.51E-03	3.07E-03	2.03E+00	41	6.91	1.24	8.15	9.65	5.93	15.58	2.32	0	5.03	0	7.35	1.9	1.35	3.25	0	0	0.13	0.34	0	0.37	0	0	0	0	0	0	1.94E-01	1.00E+00	3.72E-01	-2322.059	7.39E-01	8.23E-01	3.14E-01	-2322.431	7.37E-01	2.52E+00	2.76	2	9378228
HCM2992	"AY407742,AY407743,AY407744"	1286	COL4A4	Extracellular matrix structural protein->Extracellular matrix	Biological process unclassified	7.89E-02	2.70E-01	1.00E+00	2.70E-01	7.08E-03	2.80E-03	3.95E-01	1.63E-03	3.33E-03	2.04E+00	41	10.51	1.78	12.29	8.36	2.2	10.56	2.23	1.25	1.07	0	4.55	1.72	1.45	3.17	0.14	0	0	0.68	0	1.21	0	0	0	0	0	0	1.69E-01	1.00E+00	4.59E-01	-7227.119	8.54E-01	1.14E+00	1.16E+00	-7227.578	8.52E-01	9.69E-01	1.26	2	224991473
HCM0251	"AY399519,AY399520,AY399521"			Protease;Other signaling molecule->Signaling molecule	Cell cycle;Developmental processes;Other oncogenesis->Oncogenesis;Oncogene->Oncogenesis;Ligand-mediated signaling->Cell communication->Signal transduction;Other intracellular signaling cascade->Intracellular signaling cascade->Signal transduction;Other receptor mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	1.41E-01	3.99E-01	1.00E+00	3.99E-01	9.93E-03	9.93E-07	1.00E-04	2.83E-03	5.83E-03	2.06E+00	48	11.07	4.77	15.84	5.18	5.45	10.63	0.78	0.18	0	0	0.96	2.6	0.76	3.36	0	0	0	0.32	0	0.98	0	0	0	0	0	0	4.36E-01	3.78E-02	1.30E-02	-1169.189	5.43E-01	9.99E+02	1.00E-04	-1169.202	5.43E-01	1.00E+03	1.95	2	217039749
HCM4383	"AY411915,AY411916,AY411917"	9317	PTER	Other hydrolase->Hydrolase	Biological process unknown	2.79E-02	4.26E-01	1.00E+00	4.26E-01	2.42E-02	2.65E-03	1.10E-01	2.01E-03	4.27E-03	2.12E+00	41	17.22	1.29	18.51	1.77	1.86	3.63	4.15	0.42	0	0	4.57	0.31	0.66	0.97	0.4	0	0	1.01	0	0.96	0	0	0	0.06	0	0.06	2.39E-01	3.88E-01	2.53E-01	-1948.378	7.57E-01	3.06E+00	6.48E-01	-1948.63	7.53E-01	4.43E+00	1.78	10	16865720
HCM2174	"AY405288,AY405289,AY405290"			Molecular function unknown	Biological process unknown	3.35E-01	4.63E-01	1.00E+00	4.63E-01	9.52E-02	9.52E-06	1.00E-04	1.80E-05	3.83E-05	2.13E+00	41	13.86	1.1	14.96	8.34	6.48	14.82	1.02	0.04	2.46	0	3.52	2.32	0.06	2.38	0	0	0.16	0.33	0	0.7	0	0	0	0	0	0	1.00E+00	3.96E-01	-2.94E-03	-373.3643	2.40E+00	1.00E+03	1.28E+02	-373.3614	2.42E+00	8.23E+00	1.04	3	174008027
HCM7526	"AY421344,AY421345,AY421346"	3483	IGFALS	Molecular function unclassified	Growth factor homeostasis->Homeostasis	2.14E-02	3.73E-01	1.00E+00	3.73E-01	2.41E-02	1.82E-03	7.55E-02	3.50E-03	7.49E-03	2.14E+00	57	18.78	0.39	19.17	5.84	0	5.84	3.32	0.19	0.36	0	3.87	1.04	0.29	1.33	0	0	0.13	0.22	0	0.51	0	0	0	0	0	0	3.38E-01	4.20E-01	8.78E-02	-2035.982	1.18E+00	4.33E+00	1.03E+00	-2036.07	1.18E+00	4.09E+00	1.89	16	4936595
HCM4583	"AY412515,AY412516,AY412517"	3698	ITIH2	Serine-type protease inhibitor->Protease inhibitor->Select regulatory molecule	Proteolysis->Protein metabolism and modification	9.42E-02	3.15E-01	1.00E+00	3.15E-01	5.03E-03	5.03E-07	1.00E-04	1.72E-03	3.89E-03	2.26E+00	42	19.15	1.17	20.32	9.4	2.71	12.11	3.71	0.52	0	0	4.23	2.29	1.81	4.1	0.04	0	0	0.8	0	1.79	0	0	0	0	0	0	1.00E+00	1.00E+00	-9.77E-04	-4130.254	7.27E-01	1.00E+03	3.89E+02	-4130.253	7.27E-01	2.57E+00	2.01	10	8097695
HCM4243	"AY411495,AY411496,AY411497"	26330		Dehydrogenase->Oxidoreductase	Glycolysis->Carbohydrate metabolism	5.73E-02	3.77E-01	1.00E+00	3.77E-01	1.67E-02	6.47E-04	3.87E-02	2.58E-03	5.96E-03	2.31E+00	53	16.99	3.34	20.33	2.51	5.43	7.94	1.33	0	0.52	0.56	2.41	1.04	0.27	1.31	0	0	0	0.68	0	1.03	0	0	0	0	0.07	0.07	1.00E+00	1.00E+00	-6.61E-03	-2110.81	1.09E+00	9.99E+02	4.00E+02	-2110.804	1.09E+00	2.57E+00	2.01	19	33639684
HCM0997	"AY401757,AY401758,AY401759"	56159	TEX11	Molecular function unclassified	Biological process unclassified	2.07E-03	2.40E-01	1.00E+00	2.40E-01	1.22E-02	1.22E-06	1.00E-04	2.20E-03	5.09E-03	2.31E+00	38	9	0.88	9.88	34.83	3.19	38.02	2.67	0	2.42	0	5.09	1.19	1.5	2.69	0	0	0	0.42	0	0.6	0	0	0	0	0	0	1.00E+00	2.94E-02	-2.65E-03	-3541.927	1.02E+00	5.05E+01	1.00E+03	-3541.924	1.02E+00	5.05E-02	0.77	X	61549182
HCM4450	"AY412116,AY412117,AY412118"	4608	MYBPH	Other actin family cytoskeletal protein->Actin family cytoskeletal protein->Cytoskeletal protein	Muscle contraction	6.93E-02	2.88E-01	1.00E+00	2.88E-01	7.55E-03	9.35E-04	1.24E-01	2.29E-03	5.31E-03	2.32E+00	51	7.04	4.7	11.74	3.68	8.35	12.03	3.1	0.73	1.7	0	5.53	0.71	0.22	0.93	0.11	0	0	0.24	0	0.55	0	0	0	0	0	0	4.19E-01	3.28E-02	2.07E-02	-2381.9	5.72E-01	5.86E+00	3.04E+00	-2381.921	5.72E-01	1.92E+00	1.74	1	178328714
HCM2587	"AY406527,AY406528,AY406529"	28981		Molecular function unknown	Biological process unknown	2.67E-02	2.95E-01	1.00E+00	2.95E-01	6.40E-03	6.40E-07	1.00E-04	1.58E-03	3.68E-03	2.33E+00	41	25.63	1.17	26.8	13.19	2.14	15.33	0.67	3.34	1.41	0	5.42	0.42	1.14	1.56	0	0	0	0.5	0	1	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.11E-03	-2571.573	5.49E-01	1.00E+03	1.69E+02	-2571.572	5.49E-01	5.93E+00	0.93	12	110250876
HCM5583	"AY415515,AY415516,AY415517"	9855	FARP2	Other cytoskeletal proteins->Cytoskeletal protein	Cell structure->Cell structure and motility;Tumor suppressor->Oncogenesis	4.58E-01	2.89E-01	1.00E+00	2.89E-01	5.85E-03	5.40E-03	9.23E-01	1.40E-03	3.30E-03	2.36E+00	45	22.1	0.19	22.29	8.28	0.88	9.16	1	0.32	0.58	0	1.9	0.34	0.61	0.95	0	0	0	0.36	0	0.6	0	0	0	0	0	0	8.39E-05	1.00E+00	7.08E+00	-4807.136	8.25E-01	2.66E-04	1.00E-04	-4814.216	8.14E-01	2.36E+00	1.89	2	239817821
HCM2466	"AY406164,AY406165,AY406166"	5095	PCCA	All non-DNA ligases->Ligase	"Fatty acid beta-oxidation->Fatty acid metabolism->Lipid, fatty acid and steroid metabolism"	3.05E-02	4.69E-01	1.00E+00	4.69E-01	1.34E-02	1.72E-03	1.28E-01	3.50E-04	8.33E-04	2.38E+00	38	10.86	0.61	11.47	12.9	1.68	14.58	1.42	0	1.52	0	2.94	1.19	2.11	3.3	1.37	0	0	0.61	0	0.8	0	0	0	0.03	0	0.03	1.28E-01	4.77E-01	6.46E-01	-2940.084	5.40E-01	2.01E+00	3.35E-01	-2940.73	5.39E-01	5.70E+00	1.55	13	83174001
HCM3955	"AY410631,AY410632,AY410633"	4926	NUMA1	Molecular function unclassified	Cell structure->Cell structure and motility;Mitosis->Cell cycle	1.40E-02	3.07E-01	1.00E+00	3.07E-01	5.74E-03	7.59E-04	1.32E-01	8.03E-04	1.95E-03	2.43E+00	47	17.69	3.66	21.35	3.93	3.07	7	0.42	0.56	0.16	0	1.14	0.82	0.78	1.6	0.41	0	0	0.34	0	0.37	0	0	0	0.11	0	0.11	1.26E-01	1.00E+00	6.56E-01	-9293.761	8.36E-01	1.85E+00	6.56E-01	-9294.417	8.35E-01	2.79E+00	0.92	11	67788477
HCM5026	"AY413844,AY413845,AY413846"	119710		Molecular function unclassified	Biological process unclassified	4.57E-01	4.26E-01	1.00E+00	4.26E-01	1.26E-02	1.02E-02	8.10E-01	2.63E-03	6.61E-03	2.51E+00	38	4.16	2.59	6.75	4.33	5.48	9.81	4.64	0.49	3.04	0	8.17	3.24	0.52	3.76	0.53	0	0	0.26	0	0.61	0	0	0	0	0	0	2.72E-02	1.00E+00	1.85E+00	-1067.985	1.30E+00	1.00E-04	1.00E-04	-1069.837	1.28E+00	9.78E-01	1.28	11	36460268
HCM4671	"AY412779,AY412780,AY412781"	84306		Molecular function unclassified	Biological process unclassified	1.67E-01	3.94E-01	1.00E+00	3.94E-01	1.09E-02	1.57E-03	1.44E-01	1.96E-03	4.94E-03	2.52E+00	47	29.04	0.46	29.5	3.95	0.76	4.71	0.86	0.42	0.7	0	1.98	0.39	0	0.39	0	0	0	0.15	0	0.46	0	0	0	0	0	0	1.00E+00	4.23E-01	-5.92E-03	-1809.204	9.12E-01	6.52E+02	9.97E+02	-1809.198	9.09E-01	6.33E-01	2.12	19	32508450
HCM6374	"AY417888,AY417889,AY417890"	79822		Molecular function unclassified	Biological process unclassified	3.48E-01	3.90E-01	1.00E+00	3.90E-01	5.29E-03	3.56E-03	6.73E-01	6.55E-04	1.66E-03	2.53E+00	40	7.88	1.98	9.86	20.29	2.93	23.22	1.61	1.25	3.03	0	5.89	0.36	0.09	0.45	0	0.04	0	0.4	0	0.52	0	0	0	0	0	0	1.39E-02	3.39E-01	2.42E+00	-3725.577	9.33E-01	1.21E-01	4.10E-02	-3727.999	9.24E-01	2.72E+00	3.37	18	7249929
